ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
 1,     6,     5,     9,     7,     0,     8,     8,     7,     9,     2,     1,     8,     3,     2,     3,     7,     8,     2,     0,     4
 2,     6,     5,    10,     6,     0,     7,     5,     4,     9,     1,     2,     7,     3,     1,     0,     5,     9,     3,     1,     3
 3,    10,     6,     8,     8,     9,     8,     7,     6,     3,     1,     1,     6,     4,     3,     3,     4,     1,     5,     5,     3
 4,     2,     8,    10,     8,     0,    10,     5,     7,     7,     1,     0,     5,     0,     3,     4,     7,     8,     4,     1,     4
 5,     5,     4,     8,     5,     9,     5,     8,     4,     4,     5,     1,     4,     6,     8,     4,     4,     8,     4,     4,     4
 6,     1,     1,     0,     9,     2,     6,     8,     5,     0,    10,     7,     3,     9,     0,     5,     6,     8,     5,     6,    10
 7,     2,     3,     1,     8,     1,     6,     6,     5,     0,     8,     8,     5,     8,     4,     6,     5,     8,     5,     3,     5
 8,     3,     1,     5,     7,     2,     5,     8,     8,     1,     9,    10,     5,     8,     1,     7,     4,     8,     7,     6,     6
 9,     3,     2,     3,    10,     5,     9,     8,     5,     0,    10,     8,     6,     6,     1,     7,     4,     9,     5,     4,     6
10,     7,     5,     9,     4,     1,     5,     6,     2,     7,     2,     1,     6,     6,     3,     2,     6,     7,     4,     0,     3
11,     7,     2,     6,     5,     5,     5,     5,     4,     5,     7,     4,     4,     2,     5,     4,     6,     5,     5,     5,     0
12,     2,     1,     1,     7,     1,     6,     9,     3,     1,    10,     8,     3,     9,     1,     6,     6,    10,     6,     6,     7
13,     6,     1,     8,     6,     6,     5,     6,     3,     7,     8,     0,     5,     3,     4,     3,     6,     7,     4,     5,     2
14,    10,     8,     7,     9,     8,     8,     9,     5,     9,     3,     3,     5,     3,     2,     2,     4,     0,     5,     4,     0
15,     6,     1,     6,     6,     6,     5,     4,     2,     4,    10,     0,     5,     5,     7,     3,     6,     5,     6,     7,     4
16,     5,     2,     8,     5,     6,     6,     8,     6,     3,     7,     2,     7,     5,     5,     7,     3,     5,     6,     4,     1
17,     4,     1,     9,     5,     3,     6,     7,     6,     1,     8,     1,     6,     2,     5,     7,     6,     8,     6,     4,     1
18,     6,     3,     5,     7,     5,     6,     7,     6,     5,     7,     3,     6,     4,     5,     2,     2,     7,     4,     4,     3
19,     9,     9,    10,     7,    10,     7,     7,     2,     5,     3,     1,     5,     4,     3,     2,     4,     0,     7,     4,     1
20,     3,     4,     0,     8,     4,     6,     7,     7,     1,    10,     8,     5,     7,     0,     7,     3,    10,     6,     7,     5
21,     2,     1,     2,     7,     3,     7,     9,     7,     0,    10,     5,     6,     7,     4,     5,     5,     7,     5,     2,     6
22,     3,     2,     2,     9,     3,     7,     7,     3,     2,     5,     8,     8,     9,     3,     9,     5,     7,     5,     5,     6
23,     2,     5,     3,     8,     1,     5,     7,     8,     1,    10,     7,     5,     6,     2,     6,     5,     8,     4,     5,     6
24,     6,     5,     6,     7,     5,     8,     6,     6,     2,     8,     1,     7,     4,     6,     4,     8,     7,     9,     7,     4
25,     4,     4,     5,     4,     6,     4,     8,     4,     3,     6,     2,     7,     2,     7,     7,     5,     8,     4,     6,     2
26,     2,     2,     1,     5,     1,     6,     7,    10,     1,     8,     8,     5,     9,     6,     5,     3,     8,     6,     5,     4
27,    10,     8,     7,     8,     9,     7,     7,     6,     5,     3,     5,     3,     5,     1,     3,     3,     2,     5,     3,     2
28,     1,     1,     3,     8,     0,     6,    10,     3,     1,     8,     8,     4,     7,     1,     4,     8,     8,     2,     6,     5
29,     8,     8,     4,     8,     9,     9,     9,     6,     5,     4,     2,     3,     4,     3,     2,     3,     1,     5,     5,     1
30,     9,     8,     8,     8,     9,     4,     8,     9,     7,     1,     1,     7,     2,     1,     2,     4,     0,     5,     3,     2
31,     2,     4,     6,     9,     5,     7,     8,     4,     6,     7,     3,     6,     7,     7,     2,     3,     7,     5,     6,     0
32,    10,     9,     8,     7,    10,     5,     8,     5,     6,     2,     3,     5,     4,     2,     1,     7,     1,     3,     5,     5
33,     1,     2,     1,    10,     3,     7,    10,     7,     0,     7,     6,     9,     9,     2,     8,     4,     9,     3,     5,     7
34,     4,     1,     6,     5,     7,     6,     5,     4,     5,     7,     3,     5,     4,     3,     2,     4,     6,     3,     6,     2
35,     1,     0,     2,     6,     2,     7,     7,     6,     2,    10,     9,     5,     7,     3,     7,     7,     9,     5,     6,     6
36,     1,     1,     3,     9,     1,     6,     8,     4,     2,    10,     7,     6,     4,     1,     8,     4,    10,     4,     7,     4
37,     4,     7,     9,     4,     0,     6,     4,     5,     7,     3,     2,     9,     1,     5,     3,     3,     4,     2,     2,     5
38,     8,     9,    10,     7,     0,     6,     4,     3,     7,     4,     0,     3,     4,     1,     4,     6,     5,     3,     0,     6
39,    10,     6,     6,     9,     9,     7,     8,     5,     5,     1,     2,     8,     6,     1,     1,     4,     0,     5,     5,     2
40,     2,     2,     3,     6,     5,     8,     6,     4,     3,     9,     7,     8,     8,     3,     7,     4,     7,     5,     4,     6
41,     3,     3,     4,     8,     3,     5,     9,     5,     1,    10,    10,     5,    10,     1,     6,     8,    10,     7,     3,     6
42,     2,     3,     4,     6,     2,     7,     9,     6,     1,     7,     4,     6,     7,     4,     6,     4,     8,     3,     5,     7
43,     5,     1,     4,     9,     4,     5,     9,     3,     1,     9,     9,     6,     6,     4,     6,     4,    10,     6,     5,     3
44,     4,     5,     6,     7,     7,     7,     5,     3,     3,     7,     5,     6,     6,     4,     3,     9,     9,     5,     5,     0
45,     2,     7,     9,     6,     0,     5,     4,     6,     8,     4,     1,     5,     3,     2,     3,     7,     7,     5,     0,     2
46,     0,     1,     3,     8,     4,     7,     7,     4,     0,     9,     7,     3,     6,     2,     6,     7,     7,     7,     6,     4
47,    10,    10,     5,     8,     7,     6,     8,     7,     5,     1,     1,     6,     0,     2,     3,     4,     2,     8,     5,     3
48,     4,     6,    10,     5,     1,     7,     5,     5,     7,     3,     0,     5,     8,     5,     2,     3,     8,     4,     0,     3
49,     6,     2,     8,     9,     7,     3,     6,     4,     7,     8,     2,     8,     2,     5,     2,     3,     8,     3,     6,     2
50,     5,     7,     9,     6,     0,     9,     4,     6,     8,     3,     0,     6,     2,     2,     4,     5,     6,     6,     0,     6
51,     6,     8,     8,     6,     0,     5,     5,     1,     7,     2,     0,     5,     4,     3,     5,     4,     9,     4,     1,     4
52,     4,     8,    10,     7,     0,     6,     5,     4,    10,     1,     2,     5,     4,     2,     2,     2,     6,     6,     0,     1
53,     3,     6,     8,     3,     0,     9,     6,     3,     6,     1,     0,     4,     4,     2,     4,     6,     7,     7,     0,     3
54,     5,     3,     7,     7,     6,     5,     6,     5,     4,     8,     3,     6,     6,     6,     1,     3,     7,     7,     5,     2
55,     4,     4,     9,     4,     0,     8,     2,     3,     7,     2,     2,     8,     1,     1,     3,     2,     8,     4,     0,     2
56,     3,     1,     5,     7,     4,     6,    10,     4,     1,    10,     9,     7,     7,     3,     5,     4,     7,     5,     4,     6
57,    10,     5,     6,     6,     7,     9,     9,     3,     5,     0,     1,     3,     3,     1,     1,     4,     2,     2,     6,     2
58,    10,     8,     8,     7,     7,     6,     9,     5,     5,     2,     0,     5,     6,     2,     1,     5,     1,     3,     5,     3
59,    10,     5,     9,     8,     7,     6,     6,     7,     7,     3,     3,     3,     5,     5,     1,     7,     0,     5,     5,     3
60,     7,     4,     5,     5,     9,     6,     8,     8,     6,     6,     1,     6,     6,     5,     4,     3,     7,     4,     3,     3
61,     0,     1,     1,     6,     5,     6,     8,     6,     1,     7,     9,     4,     8,     2,     6,     7,     9,     3,     7,     6
62,     4,     4,     8,     5,     0,     4,     4,     6,     9,     4,     1,     3,     6,     3,     4,     6,     7,     4,     1,     4
63,     9,     9,     6,     6,     7,     8,     8,     6,     6,     2,     2,     6,     5,     3,     3,     4,     1,     3,     4,     1
64,     6,     5,    10,     5,     0,     9,     2,     5,    10,     3,     1,     6,     3,     4,     3,     6,     9,     6,     1,     1
65,     5,     7,     7,     7,     1,     8,     3,     6,     8,     5,     1,     4,     6,     1,     1,     7,     8,     5,     1,     2
66,     8,     3,     9,     9,     4,     7,     6,     5,     3,     7,     2,     5,     6,     6,     2,     7,    10,     5,     5,     1
67,     7,     1,     9,     5,     8,     6,     6,     2,     0,     8,     2,     4,     3,     2,     1,     8,     7,     3,     2,     4
68,     5,     4,     9,     5,     0,     7,     3,     5,     4,     4,     0,     5,     3,     3,     2,     7,     6,     4,     2,     2
69,     0,     4,     2,     8,     2,     5,     5,     5,     1,     7,     7,     7,     7,     4,     6,     3,     6,     4,     5,     7
70,     4,     3,     6,     7,     8,     4,     6,     5,     6,     6,     3,     6,     7,     4,     3,     5,    10,     3,     7,     0
71,     5,     3,     7,     5,     5,     6,     6,     3,     5,     6,     2,     6,     3,     7,     3,     5,     7,     5,     5,     0
72,     7,     3,     6,     8,     4,     4,     8,     7,     0,    10,     2,     3,     4,     6,     2,     4,    10,     5,     4,     0
73,     2,     0,     1,     7,     4,     4,    10,     5,     0,     6,     7,     4,     7,     1,     6,     5,    10,     6,     5,     6
74,    10,     8,     6,     8,     6,     7,     9,     4,     6,     5,     1,     7,     2,     3,     2,     2,     1,     1,     3,     3
75,     7,     6,     8,     7,     0,     6,     5,     6,     9,     2,     0,     5,     2,     2,     7,     5,     4,     7,     2,     5
76,     1,     2,     2,     6,     3,     7,     7,     7,     1,     9,     4,     6,     7,     1,     4,     8,     9,     4,     4,     6
77,     6,     8,     7,     4,     0,     9,     5,     2,     7,     2,     1,     5,     3,     1,     1,     5,    10,     5,     0,     3
78,     5,     5,     9,     4,     0,     7,     4,     4,     9,     1,     2,     4,     1,     1,     4,     4,     7,     5,     0,     1
79,     3,     1,     5,     8,     2,     8,    10,     6,     2,     9,     7,     4,     4,     2,     5,     3,     9,     6,     3,     4
80,    10,     7,     7,     6,     9,     6,     7,     3,     6,     3,     0,     6,     5,     3,     1,     5,     1,     6,     7,     0
81,    10,     8,     7,     7,     7,     8,     6,     6,     5,     6,     3,     5,     4,     3,     5,     5,     0,     4,     6,     2
82,     4,     4,     8,     7,     8,     6,     5,     4,     4,     8,     1,     8,     4,     7,     4,     6,     4,     6,     4,     3
83,     6,     9,     8,     9,     0,     9,     3,     5,     9,     2,     0,     7,     2,     1,     4,     3,     7,     5,     0,     1
84,     6,     8,     7,     7,     0,    10,     6,     4,     8,     1,     1,     4,     6,     3,     4,     2,     9,     5,     0,     2
85,     3,     1,     5,     9,     3,     7,     9,     4,     2,     7,     8,     4,     4,     2,     4,     5,     8,     5,     6,     7
86,    10,     7,     7,     9,     7,     8,     9,     5,     2,     2,     1,     7,     6,     2,     2,     3,     1,     4,     6,     3
87,     9,     8,     7,     8,    10,     7,     7,     5,     7,     3,     0,     9,     6,     3,     4,     6,     1,     2,     5,     2
88,     2,     0,     2,     8,     2,     7,     7,     5,     1,     9,     8,     7,     7,     2,     8,     5,     8,     6,     4,     7
89,     4,     5,    10,     3,     0,     7,     3,     3,     8,     2,     0,     5,     4,     0,     1,     5,     7,     1,     2,     4
90,     5,     5,     9,     7,     0,     4,     6,     4,    10,     0,     3,     4,     1,     3,     4,     5,     8,     5,     1,     1
91,    10,     9,     9,     7,     9,     4,    10,     3,     4,     1,     0,     6,     2,     2,     0,     5,     1,     4,     5,     4
92,     9,     8,    10,     8,     9,     5,     8,     4,     6,     2,     1,     5,     3,     1,     2,     4,     0,     4,     5,     1
93,     7,     6,     6,     7,     0,     9,     4,     2,     9,     2,     0,     6,     1,     5,     4,     6,     6,     3,     0,     2
94,     1,     0,     2,     9,     2,     7,     7,     4,     1,     9,     7,     7,     7,     3,     7,     5,     8,     6,     6,     6
95,     7,     7,     8,     5,     0,     8,     6,     2,     9,     1,     0,     7,     3,     2,     3,     5,     9,     4,     0,     5
96,     4,     1,     3,     7,     0,     8,     9,     6,     0,     9,    10,     6,     7,     2,     5,     2,     5,     2,     4,     4
97,    10,     7,     5,     7,     8,     6,     7,     5,     4,     1,     2,     5,     2,     2,     2,     4,     1,     7,     6,     0
98,     9,     8,     7,     8,     9,     7,     8,     4,     8,     1,     2,     4,     4,     6,     2,     4,     2,     8,     6,     4
99,     3,     6,     9,     6,     1,     8,     6,     6,     9,     4,     5,     3,     3,     1,     3,     7,     7,     5,     0,     4
100,     1,     5,     3,     9,     2,     6,     8,     4,     3,     9,     8,     7,     8,     1,     7,     7,    10,     4,     5,     5